,died,died,died,population,population,population
covid_hospitalisation,COVID-19 hospitalised,COVID-19 positive,General population,COVID-19 hospitalised,COVID-19 positive,General population
date,,,,,,
2019-02-01,,,15236.0,,,17095565.0
2019-03-01,,,14515.0,,,17111982.0
2019-04-01,,,14606.0,,,17113631.0
2019-05-01,,,14145.0,,,17145737.0
2019-06-01,,,13158.0,,,17167478.0
2019-07-01,,,13372.0,,,17175932.0
2019-08-01,,,13317.0,,,17196292.0
2019-09-01,,,13327.0,,,17223404.0
2019-10-01,,,14644.0,,,17222729.0
2019-11-01,,,15555.0,,,17256904.0
2019-12-01,,,17397.0,,,17275450.0
2020-01-01,0.0,,17205.0,89.0,,17277520.0
2020-02-01,,0.0,14836.0,,10.0,17301510.0
2020-03-01,1014.0,151.0,16489.0,8735.0,2698.0,17302585.0
2020-04-01,6145.0,992.0,18165.0,24194.0,22485.0,17281738.0
2020-05-01,2833.0,883.0,13345.0,23870.0,38332.0,17309688.0
2020-06-01,1228.0,315.0,11871.0,23001.0,44263.0,17355346.0
2020-07-01,606.0,170.0,11999.0,22114.0,48805.0,17392133.0
2020-08-01,353.0,155.0,12550.0,21900.0,55612.0,17433370.0
2020-09-01,448.0,179.0,12267.0,23710.0,83700.0,17424655.0
2020-10-01,1536.0,409.0,12918.0,31686.0,204661.0,17324640.0
